Id,avg_steps,steps_variability,avg_sleep,sleep_variability,avg_sedentary_minutes,avg_very_active_minutes,morning_activity_ratio,afternoon_activity_ratio,evening_activity_ratio,calories_per_step,calories_per_active_minute,cluster
1503960366,12405.68,1891.118858665419,360.28,98.44694814975219,759.28,37.92,0.1806,0.2966,0.5037,0.153428,35.93158,0
1644430081,7967.75,6066.195775566431,294.0,289.90429455252985,920.5,2.5,0.1341,0.3073,0.535,0.5321,185.2875,0
1844505072,3477.0,642.9810780004857,652.0,54.18486873657626,443.3333,0.0,0.2345,0.3941,0.3231,0.49563333,220.1429,2
1927972279,1490.0,1216.3113088350367,417.0,196.08977535812517,977.2,0.0,0.4035,0.3786,0.2112,2.73754,0.0,0
2026352035,5618.6786,3050.814189378345,506.1786,41.503918551168645,653.9643,0.1071,0.331,0.4625,0.1968,0.50195357,132.6364,0
2320127002,5079.0,0.0,61.0,0.0,1129.0,0.0,0.2596,0.3323,0.3198,0.3552,0.0,1
2347167796,8533.2,3592.84609931087,446.8,41.52461117618483,628.4,9.2,0.3781,0.2115,0.4093,0.86851333,98.82245455,0
3977333714,11218.0,2426.05245202984,293.6429,62.75019310483337,716.2143,19.8214,0.118,0.3398,0.5261,0.14480714,25.7263,0
4020332650,6596.75,3077.7180162419036,349.375,132.17217700787106,841.875,15.0,0.2038,0.4088,0.3717,0.617575,84.1002,0
4319703577,7125.4231,3136.308979248315,476.6538,112.06520845804715,642.6923,2.6154,0.3196,0.383,0.2839,0.92129615,136.88748333,0
4388161847,11034.3478,3388.8051711056896,420.6522,179.99724845618016,745.1739,27.4783,0.3226,0.3558,0.261,0.3027913,86.27150952,0
4445114986,4756.1786,1986.077326461302,385.1786,93.82356297534088,787.3214,6.4286,0.1048,0.395,0.4646,0.55518214,122.77375,0
4558609924,8139.0,3383.999704491713,127.6,23.113632341109867,1028.4,19.8,0.217,0.4826,0.2939,0.31398,51.0011,0
4702921684,9035.8519,2791.0346774350046,436.7407,133.62041111341475,697.3333,5.3704,0.2962,0.3671,0.3314,0.35274074,132.00732273,0
5553957443,8612.5806,4991.987262017154,463.4839,106.52786125575453,668.3548,23.4194,0.3006,0.432,0.2555,0.37470968,45.41804737,0
5577150313,9260.0769,2989.7755630079932,432.0,96.82378919380378,667.3077,97.8846,0.4747,0.2847,0.1945,0.40283077,35.28854615,0
6117666160,8823.8333,3830.9820216231765,478.7778,81.73776194877776,531.9444,2.4444,0.2445,0.4756,0.2513,0.30820556,120.7744,0
6775888955,3499.0,1631.7244456913265,349.6667,82.12727250365063,964.0,10.3333,0.3475,0.2928,0.3085,0.91233333,67.27255,0
6962181067,9794.8065,3877.6555638963655,448.0,61.48432792708367,662.3226,22.8065,0.4785,0.3292,0.1876,0.24338065,50.113084,0
7007744171,5115.5,484.5,68.5,10.5,1148.5,0.0,0.655,0.2452,0.0996,0.4228,0.0,1
7086361926,10290.5,2733.391300198345,453.125,67.88551177043105,723.6667,47.4583,0.1175,0.6311,0.2443,0.2758125,43.02931739,0
8053475328,19078.6667,3000.185586852179,297.0,169.90781814462414,837.3333,111.6667,0.0176,0.4295,0.5377,0.1763,27.18823333,0
8378563200,8717.7097,3865.442579455506,457.6452,94.73070435478999,716.129,58.6774,0.4297,0.4386,0.108,0.47367097,75.36260385,0
8792009665,3443.2667,2183.1302439896303,435.6667,63.24098530401169,807.8,1.6667,0.1745,0.3927,0.3273,0.87094,127.48458,0
